Year,max
1983,10.80000019
1984,3.569999933
1985,8.569999695
1986,7.739999771
1987,8.819999695
1988,9.18999958
1989,4.25
1990,75.59999847
1991,15.10000038
1992,27.60000038
1993,24.20000076
1994,7.71999979
1995,29.29999924
1996,6.349999905
1997,10.69999981
1998,23.89999962
1999,12.69999981
2000,3.74000001
2001,3.480000019
2002,7.769999981
2003,5.889999866
2004,8.81000042
2005,149
2006,5.610000134
2007,23.20000076
2008,20.10000038
2009,4.949999809
2010,5.369999886
2011,39.90000153
2012,48.70000076
2013,350
2014,16.20000076
2015,3.369999886
2016,6.070000172
2017,7.349999905
2018,17
2019,16
2020,17.10000038
2021,5.659999847
