Year,max
1911,467
1912,430
1913,416
1914,405
1915,796
1916,767
1917,436
1918,532
1919,411
1920,510
1921,337
1922,365
1923,714
1924,377
1925,385
1926,259
1927,547
1928,558
1929,1150
1930,399
1931,306
1932,1160
1933,612
1934,447
1935,374
1936,408
1937,257
1938,413
1939,309
1940,271
1941,178
1942,303
1943,323
1944,214
1945,306
1946,354
1947,374
1948,558
1949,200
1950,419
1952,408
1953,513
1954,388
1955,365
1956,306
1957,270
1958,250
1959,306
1960,289
1961,391
1962,249
1963,317
1964,351
1965,456
1966,345
1967,382
1968,256
1969,399
1970,331
1971,362
1972,402
1973,334
1974,476
1975,224
1976,249
1977,208
1978,238
1979,141
1980,302
1981,425
1982,276
1983,202
1984,217
1985,189
1986,420
1987,197
1988,227
1989,238
1990,525
1991,357
1992,275
1993,219
1994,251
1995,452
1996,280
1997,275
1998,293
1999,342
2000,173
2001,167
2002,339
2003,220
2004,207
2005,602
2006,244
2007,331
2008,287
2009,159
2010,185
2011,313
2012,442
2013,1750
2014,318
2015,204
2016,147
2017,392
2018,317
2019,255
2020,331
2021,338
2022,359
