Year,max
1935,23.60000038
1936,27.5
1937,64.80000305
1938,77.90000153
1939,74.80000305
1940,21.20000076
1941,44.5
1942,155
1943,44.20000076
1944,22.89999962
1945,107
1946,42.5
1947,60.59999847
1948,183
1949,17.60000038
1950,44.20000076
1951,82.69999695
1952,59.70000076
1953,118
1954,39.40000153
1955,37.09999847
1956,30.89999962
1957,28.89999962
1958,37.90000153
1959,39.90000153
1960,28.89999962
1961,51
1962,26.10000038
1963,141
1964,89.5
1965,127
1966,30.60000038
1967,185
1968,43.90000153
1969,139
1970,92
1971,89.19999695
1972,49.79999924
1973,43.29999924
1974,66
1975,49.29999924
1976,36
1977,15.80000019
1978,44.5
1979,32.09999847
1980,51.70000076
1981,98.19999695
1982,28.89999962
1983,26.20000076
1984,19.39999962
1985,61.20000076
1986,48.90000153
1987,24.29999924
1988,28.89999962
1989,20.39999962
1990,129
1991,41.40000153
1992,88.69999695
1993,80.40000153
1994,52.09999847
1995,190
1996,43.5
1997,47.79999924
1998,103
1999,48.29999924
2000,14.39999962
2001,39.40000153
2002,70.19999695
2003,30.89999962
2004,31.39999962
2005,231
2006,75.09999847
2007,54
2008,125
2009,39.40000153
2010,43.29999924
2011,95.5
2012,83.19999695
2013,591
2014,102
2015,22.20000076
2016,27.10000038
2017,28.20000076
2018,44.79999924
2019,66
2020,44.79999924
2021,37.09999847
2022,102
